Breve Descrizione,Gruppo,Sala,Ora Inizio,Ora Fine,Durata,Descrizione completa,Tipo di prenotazione,Creato da,Tipo di prenotazione,Stato dell'approvazione,Docente,E' un esame?,Corso di Studi,Ultima Modifica
Calcolo Numerico,Aule,NB20,09:00:00 - venerdì 03 giugno 2016,19:00:00 - venerdì 03 giugno 2016,10 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Iannazzo Bruno,No,Matematica,08:18:24 - giovedì 26 maggio 2016
Calcolo Numerico,Aule,A0,11:00:00 - venerdì 03 giugno 2016,13:00:00 - venerdì 03 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Iannazzo Bruno,No,Informatica II Anno,17:35:01 - martedì 23 febbraio 2016
Algebra II,Aule,A3,11:00:00 - venerdì 03 giugno 2016,13:00:00 - venerdì 03 giugno 2016,2 ore,Tutorato Calussi,CdS interno del Dipartimento,pr520001,Prenotazione,Approvato,Lorenzini Anna,No,Matematica I Anno,14:12:34 - mercoledì 02 marzo 2016
Mathematical Models for Finance,Aule,B1,11:00:00 - venerdì 03 giugno 2016,13:00:00 - venerdì 03 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Cretarola Alessandra,No,Matematica,14:21:13 - lunedì 14 marzo 2016
Storia delle Matematiche I,Aule,B3,11:00:00 - venerdì 03 giugno 2016,13:00:00 - venerdì 03 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Nucci,No,Matematica III Anno,11:53:59 - martedì 23 febbraio 2016
Equazioni Differenziali,Aule,C2,11:00:00 - venerdì 03 giugno 2016,13:00:00 - venerdì 03 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Cardinali Tiziana,No,Matematica,11:39:07 - lunedì 21 marzo 2016
Programmazione 3,Aule,Aula C3,11:00:00 - venerdì 03 giugno 2016,13:00:00 - venerdì 03 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Baioletti Marco,No,Informatica III Anno,18:14:08 - martedì 23 febbraio 2016
Modelli e sistemi dell'intelligenza Artificiale-Intelligenza Artificiale,Aule,Aula Gialla,11:00:00 - venerdì 03 giugno 2016,13:00:00 - venerdì 03 giugno 2016,2 ore,"Interactive intelligent devices, systems and environments",CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Milani Alfredo,No,Informatica Magistrale I Anno,08:27:24 - giovedì 25 febbraio 2016
Sistemi con vincoli e rappresentazione della conoscenza,Aule,Aula Verde,11:00:00 - venerdì 03 giugno 2016,13:00:00 - venerdì 03 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Bistarelli Stefano,No,Informatica Magistrale II Anno,08:51:42 - giovedì 25 febbraio 2016
Fisica generale,Aule,A0,09:00:00 - lunedì 06 giugno 2016,11:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Tosti Gino,No,Informatica II Anno,15:15:02 - giovedì 25 febbraio 2016
Matematica Discreta - Modulo II,Aule,A2,09:00:00 - lunedì 06 giugno 2016,11:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Fatabbi Giuliana,No,Informatica I Anno,16:14:17 - martedì 23 febbraio 2016
Geometria II,Aule,A3,09:00:00 - lunedì 06 giugno 2016,11:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Caterino Alessandro,No,Matematica,16:13:01 - lunedì 21 marzo 2016
Analisi Numerica,Aule,B1,09:00:00 - lunedì 06 giugno 2016,11:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Iannazzo Bruno,No,Matematica III Anno,11:36:58 - martedì 23 febbraio 2016
Combinatorics,Aule,C2,09:00:00 - lunedì 06 giugno 2016,11:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Vincenti Rita,No,Matematica,08:23:59 - mercoledì 24 febbraio 2016
Sicurezza informatica,Aule,Aula Gialla,09:00:00 - lunedì 06 giugno 2016,11:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Bistarelli Stefano,No,Informatica Magistrale I Anno,08:27:51 - giovedì 25 febbraio 2016
Sistemi multimediali,Aule,Aula Verde,09:00:00 - lunedì 06 giugno 2016,11:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,pr520001,Prenotazione,Approvato,Pallottelli Simonetta,Yes,Informatica III Anno,13:52:26 - venerdì 04 dicembre 2015
Algoritmi e strutture dati con Laboratorio - Modulo II,Aule,A0,11:00:00 - lunedì 06 giugno 2016,13:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Gerace Ivan,No,Informatica II Anno,17:28:03 - martedì 23 febbraio 2016
Algebra II - III esonero,Aule,A2,11:00:00 - lunedì 06 giugno 2016,13:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,pr520001,Prenotazione,Approvato,Lorenzini Anna,Yes,Matematica I Anno,09:30:59 - lunedì 18 aprile 2016
Informatica I,Aule,A3,11:00:00 - lunedì 06 giugno 2016,13:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Baioletti Marco,No,Matematica I Anno,09:09:43 - mercoledì 16 marzo 2016
Equazioni Differenziali,Aule,C2,11:00:00 - lunedì 06 giugno 2016,13:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Cardinali Tiziana,No,Matematica,11:39:07 - lunedì 21 marzo 2016
Calcolo distribuito e sistemi ad alte prestazioni,Aule,Aula Gialla,11:00:00 - lunedì 06 giugno 2016,13:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Gervasi Osvaldo,No,Informatica Magistrale I Anno,14:13:37 - lunedì 21 marzo 2016
Sistemi con vincoli e rappresentazione della conoscenza,Aule,Aula Verde,11:00:00 - lunedì 06 giugno 2016,13:00:00 - lunedì 06 giugno 2016,2 ore,"Systems, social and mobile securiry",CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Bistarelli Stefano,No,Informatica Magistrale II Anno,08:51:00 - giovedì 25 febbraio 2016
Programmazione II con laboratorio,Aule,Portatile 4,11:00:00 - lunedì 06 giugno 2016,13:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Marcugini Stefano,No,Informatica I Anno,11:06:42 - lunedì 29 febbraio 2016
Programmazione I con laboratorio,Aule,A2,13:00:00 - lunedì 06 giugno 2016,15:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,pr520001,Prenotazione,Approvato,Santini Francesco,No,Informatica I Anno,12:38:43 - giovedì 21 aprile 2016
Fisica I,Aule,A3,14:00:00 - lunedì 06 giugno 2016,16:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Plazanet Marie Genevieve,No,Matematica,16:10:35 - lunedì 21 marzo 2016
Fondamenti di Geometria,Aule,B1,14:00:00 - lunedì 06 giugno 2016,16:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Zappa Paolo,No,Matematica,08:37:32 - mercoledì 24 febbraio 2016
Matematica per Geologia,Aule,I2,14:00:00 - lunedì 06 giugno 2016,16:00:00 - lunedì 06 giugno 2016,2 ore,,Altro,pr520001,Prenotazione,Approvato,Benedetti Irene,No,Altro,15:15:18 - sabato 05 marzo 2016
Matematiche Complementari,Aule,Aula C3,14:00:00 - lunedì 06 giugno 2016,16:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Faina Giorgio,No,Matematica,11:48:04 - mercoledì 24 febbraio 2016
Algoritmi e strutture dati con Laboratorio - Modulo I,Aule,A0,15:00:00 - lunedì 06 giugno 2016,17:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Pinotti Maria Cristina,No,Informatica II Anno,15:36:02 - giovedì 25 febbraio 2016
Programmazione II con laboratorio,Aule,A2,15:00:00 - lunedì 06 giugno 2016,17:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Marcugini Stefano,No,Informatica I Anno,17:32:45 - giovedì 03 marzo 2016
Crittografia e applicazioni,Aule,B3,15:00:00 - lunedì 06 giugno 2016,17:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Giulietti Massimo,No,Informatica Magistrale II Anno,08:34:28 - giovedì 25 febbraio 2016
Programmazione II con laboratorio,Aule,Portatile 4,15:00:00 - lunedì 06 giugno 2016,17:00:00 - lunedì 06 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Marcugini Stefano,No,Informatica I Anno,11:07:14 - lunedì 29 febbraio 2016
Matematica con elementi di Informatica,Aule,A2,17:00:00 - lunedì 06 giugno 2016,19:00:00 - lunedì 06 giugno 2016,2 ore,CdS CTF,Altro,pr520001,Prenotazione,Approvato,Pambianco Fernanda,No,Altro,11:56:59 - venerdì 26 febbraio 2016
Algoritmi e strutture dati con Laboratorio - Modulo I,Aule,A0,09:00:00 - martedì 07 giugno 2016,11:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Pinotti Maria Cristina,No,Informatica II Anno,17:25:59 - martedì 23 febbraio 2016
Pianificazione della sicurezza informatica e elementi di informatica forense,Aule,A2,09:00:00 - martedì 07 giugno 2016,11:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Milani Alfredo,No,Informatica,11:18:18 - martedì 08 marzo 2016
Analisi Numerica,Aule,B1,09:00:00 - martedì 07 giugno 2016,11:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Iannazzo Bruno,No,Matematica III Anno,11:35:19 - martedì 23 febbraio 2016
Geometria V,Aule,B3,09:00:00 - martedì 07 giugno 2016,11:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Tancredi Alessandro,No,Matematica Magistrale I Anno,12:17:10 - martedì 23 febbraio 2016
Sistemi aperti e distribuiti,Aule,Aula C3,09:00:00 - martedì 07 giugno 2016,11:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Tasso Sergio,No,Informatica III Anno,18:15:39 - martedì 23 febbraio 2016
Calcolo distribuito e sistemi ad alte prestazioni,Aule,Aula Gialla,09:00:00 - martedì 07 giugno 2016,11:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Gervasi Osvaldo,No,Informatica Magistrale I Anno,08:25:25 - giovedì 25 febbraio 2016
Lab di Informatica per Sc Biologiche,Aule,Aula Verde,09:00:00 - martedì 07 giugno 2016,11:00:00 - martedì 07 giugno 2016,2 ore,,Altro,pr520001,Prenotazione,Approvato,Pallottelli Simonetta,Yes,Altro,09:33:21 - mercoledì 09 dicembre 2015
Algoritmi e strutture dati con Laboratorio - Modulo II,Aule,A0,11:00:00 - martedì 07 giugno 2016,13:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Gerace Ivan,No,Informatica II Anno,17:28:49 - martedì 23 febbraio 2016
Analisi matematica - Modulo II,Aule,A2,11:00:00 - martedì 07 giugno 2016,13:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Boccuto Antonio,No,Informatica I Anno,16:23:17 - martedì 23 febbraio 2016
Matematica per Geologia,Aule,I2,11:00:00 - martedì 07 giugno 2016,13:00:00 - martedì 07 giugno 2016,2 ore,,Altro,ae610001,Prenotazione,Approvato,Benedetti Irene,No,Matematica,08:50:45 - mercoledì 24 febbraio 2016
Analisi Matematica V,Aule,Sala Riunioni,11:00:00 - martedì 07 giugno 2016,13:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Pucci Patrizia,No,Matematica Magistrale I Anno,12:02:03 - martedì 23 febbraio 2016
Metodi teorici e computazionali per le scienze molecolari,Aule,Aula C3,11:00:00 - martedì 07 giugno 2016,13:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Pacifici Leonardo,No,Informatica Magistrale II Anno,11:01:12 - giovedì 25 febbraio 2016
Modelli e sistemi dell'intelligenza Artificiale-Intelligenza Artificiale,Aule,Aula Gialla,11:00:00 - martedì 07 giugno 2016,13:00:00 - martedì 07 giugno 2016,2 ore,"Interactive intelligent devices, systems and environments",CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Milani Alfredo,No,Informatica Magistrale I Anno,08:26:40 - giovedì 25 febbraio 2016
Probabilità e Statistica - II PARTE,Aule,Aula Verde,11:00:00 - martedì 07 giugno 2016,13:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,pr520001,Prenotazione,Approvato,Capotorti Andrea,No,Matematica II Anno,12:53:44 - giovedì 17 marzo 2016
Storia delle Matematiche I,Aule,B3,14:00:00 - martedì 07 giugno 2016,16:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Nucci Maria Clara,No,Matematica III Anno,13:24:46 - venerdì 11 marzo 2016
Equazioni Differenziali,Aule,C2,14:00:00 - martedì 07 giugno 2016,16:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,pr520001,Prenotazione,Approvato,Cardinali Tiziana,No,Matematica,13:37:40 - lunedì 07 marzo 2016
Basi di dati su larga scala e data mining,Aule,Aula C3,14:00:00 - martedì 07 giugno 2016,16:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Poggioni Valentina,No,Informatica Magistrale I Anno,08:29:12 - giovedì 25 febbraio 2016
Algoritmi e strutture dati con Laboratorio,Aule,A0,15:00:00 - martedì 07 giugno 2016,18:00:00 - martedì 07 giugno 2016,3 ore,esami,CdS interno del Dipartimento,mp620002,Prenotazione,Approvato,Pinotti Maria Cristina,Yes,Informatica II Anno,11:36:16 - mercoledì 23 settembre 2015
Seminari D. Horsley - A. Burgess,Aule,Sala Riunioni,15:00:00 - martedì 07 giugno 2016,18:00:00 - martedì 07 giugno 2016,3 ore,,Altro,pr520001,Prenotazione,Approvato,Buratti Marco,No,Altro,11:45:26 - giovedì 12 maggio 2016
Mathematical Models for Finance,Aule,B1,16:00:00 - martedì 07 giugno 2016,18:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Cretarola Alessandra,No,Matematica,08:44:41 - mercoledì 24 febbraio 2016
Topologia I,Aule,B3,16:00:00 - martedì 07 giugno 2016,18:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Stramaccia Luciano,No,Matematica III Anno,19:24:27 - giovedì 03 marzo 2016
Human-computer interaction,Aule,Aula C3,16:00:00 - martedì 07 giugno 2016,18:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,pr520001,Prenotazione,Approvato,Lalli Fabio,No,Informatica Magistrale I Anno,21:59:50 - domenica 20 marzo 2016
Programmazione concorrente e parallela,Aule,Aula Gialla,17:00:00 - martedì 07 giugno 2016,19:00:00 - martedì 07 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Tasso Sergio,No,Informatica Magistrale II Anno,11:04:14 - giovedì 25 febbraio 2016
Algoritmi e strutture dati con Laboratorio - Modulo I,Aule,A0,09:00:00 - mercoledì 08 giugno 2016,11:00:00 - mercoledì 08 giugno 2016,2 ore,,CdS interno del Dipartimento,ws740001,Prenotazione,Approvato,Pinotti Maria Cristina,No,Informatica II Anno,17:26:54 - martedì 23 febbraio 2016
Giornata INdAM,Aule,A2,09:00:00 - mercoledì 08 giugno 2016,17:00:00 - mercoledì 08 giugno 2016,8 ore,,Altro,pr520001,Prenotazione,Approvato,Giulietti Massimo,No,Altro,13:31:06 - mercoledì 11 maggio 2016
Giornata INdAM,Aule,A3,09:00:00 - mercoledì 08 giugno 2016,19:00:00 - mercoledì 08 giugno 2016,10 ore,,Altro,mg710001,Prenotazione,Approvato,Giulietti Massimo,No,Altro,11:48:41 - mercoledì 11 maggio 2016
Analisi Numerica,Aule,B1,09:00:00 - mercoledì 08 giugno 2016,11:00:00 - mercoledì 08 giugno 2016,2 ore,,CdS interno del Dipartimento,ae610001,Prenotazione,Approvato,Iannazzo Bruno,No,Matematica III Anno,11:35:19 - martedì 23 febbraio 2016
